SST,Current Speed,Current Direction ,Wind Speed,Wind Direction,Presence,April,August,December,February,January,July,June,March,May,November,October,September
20.07049797,0.097561322,20.75575086,1.389470241,213.1131456,1,0,0,0,0,0,0,0,0,0,0,1,0
20.46739118,0.149619405,355.2273609,1.074943293,356.9445439,1,0,0,0,0,0,0,0,0,0,0,1,0
19.97711133,0.285294723,4.134671374,2.256065174,36.1557455,1,0,0,0,0,0,0,0,0,0,0,1,0
19.73586251,0.207861823,18.72214331,1.561338601,208.3020977,1,0,0,0,0,0,0,0,0,0,1,0,0
20.22614236,0.043033758,65.3914972,0.967626493,152.9442047,1,0,0,0,0,0,0,0,0,0,1,0,0
20.56856004,0.086105611,41.69813433,1.917357538,170.0769204,1,0,0,0,0,0,0,0,0,0,1,0,0
20.76311554,0.055620846,152.3411289,1.526529965,116.7225077,1,0,0,0,0,0,0,0,0,0,1,0,0
20.91875994,0.090390795,6.483073693,1.764572294,67.8035127,1,0,0,0,0,0,0,0,0,0,1,0,0
21.43238645,0.184824108,1.378279154,1.916461248,32.01220413,1,0,0,1,0,0,0,0,0,0,0,0,0
21.58024863,0.069162169,71.87392031,1.344996192,169.1849621,1,0,0,1,0,0,0,0,0,0,0,0,0
22.08609292,0.329832914,12.49483021,2.000885416,33.13683054,1,0,0,1,0,0,0,0,0,0,0,0,0
21.54911975,0.284314175,356.0621305,2.27057123,24.30177134,1,0,0,1,0,0,0,0,0,0,0,0,0
23.09778151,0.106208062,102.105656,2.074372301,148.0048433,1,0,0,0,0,1,0,0,0,0,0,0,0
22.97326599,0.177155372,21.71764379,1.767883334,98.3212034,1,0,0,0,0,1,0,0,0,0,0,0,0
22.4674217,0.10179068,347.6658945,1.526243157,33.76476863,1,0,0,0,0,1,0,0,0,0,0,0,0
23.9538257,0.118886674,95.13172836,1.638122495,153.088622,1,0,0,0,0,1,0,0,0,0,0,0,0
23.45576363,0.113834498,331.7483577,1.816730083,16.8823371,1,0,0,0,0,1,0,0,0,0,0,0,0
23.73592354,0.181023275,346.0278696,2.213765899,21.56853565,1,0,0,0,0,1,0,0,0,0,0,0,0
22.87987935,0.297320607,352.962678,2.412308449,21.31324059,1,0,0,0,0,1,0,0,0,0,0,0,0
23.51802139,0.320555947,12.68941214,1.435974351,32.11399131,1,0,0,0,0,1,0,0,0,0,0,0,0
24.15616342,0.167841867,42.42815939,1.522612569,125.2836123,1,0,0,0,1,0,0,0,0,0,0,0,0
24.84099877,0.253318963,41.91057172,2.055703257,133.3735963,1,0,0,0,1,0,0,0,0,0,0,0,0
23.86043906,0.379704637,5.650317502,2.072559288,64.89549936,1,0,0,0,1,0,0,0,0,0,0,0,0
24.87212765,0.299588735,29.00598244,2.254493726,144.9757388,1,0,0,0,1,0,0,0,0,0,0,0,0
24.98107873,0.294396126,18.61263463,2.027669771,101.9620514,1,0,0,0,0,0,0,0,1,0,0,0,0
24.68535437,0.213092655,15.19700286,1.499935662,121.3239177,1,0,0,0,0,0,0,0,1,0,0,0,0
24.63087883,0.156244187,27.16619549,1.271003755,108.6557407,1,0,0,0,0,0,0,0,1,0,0,0,0
24.93438541,0.167532338,165.6614683,2.413442306,197.9525476,1,0,0,0,0,0,0,0,1,0,0,0,0
23.70479466,0.021417783,68.49856568,2.178266826,150.6261588,1,0,0,0,0,0,0,0,1,0,0,0,0
23.7981813,0.128005869,18.23249108,1.362385587,15.99830058,1,0,0,0,0,0,0,0,1,0,0,0,0
